cols,cost_matrix_time,expanded_total,greedy_cost,greedy_feasible,greedy_time,heuristic,hill_cost,hill_feasible,hill_impr_pct,hill_time,n_parcels,n_stops,obstacle_prob,rows,sa_cost,sa_feasible,sa_impr_pct,sa_time,seed,status,warnings
15,0.0030886909989931155,1610,62.0,True,2.0350002159830183e-05,manhattan,60.0,True,3.225806451612903,0.036635517000831896,5,11,0.2,15,62.0,True,0.0,0.03590807799992035,42,success,[]
15,0.0026231929987261537,1401,66.0,True,2.108699845848605e-05,manhattan,60.0,True,9.090909090909092,0.035997227001644205,5,11,0.2,15,66.0,True,0.0,0.04989602099885815,43,success,[]
15,0.0037690340031986125,2012,97.0,True,2.1076000848552212e-05,manhattan,84.0,True,13.402061855670103,0.03866235600071377,5,11,0.2,15,85.0,True,12.371134020618557,0.038230865000514314,44,success,[]
15,0.006653420998190995,1727,65.0,True,3.214000025764108e-05,manhattan,65.0,True,0.0,0.033697327999107074,5,11,0.2,15,65.0,True,0.0,0.040684326999326004,45,success,[]
15,0.00425781299782102,1331,72.0,True,3.0497998523060232e-05,manhattan,59.0,True,18.055555555555554,0.039130326000304194,5,11,0.2,15,61.0,True,15.277777777777779,0.04110647500056075,46,success,[]
15,0.00396267999894917,2018,60.0,True,2.2215001081349328e-05,manhattan,56.0,True,6.666666666666667,0.0407081349985674,5,11,0.2,15,58.0,True,3.3333333333333335,0.04142231200239621,47,success,[]
15,0.002910448998591164,1487,80.0,True,2.03909985430073e-05,manhattan,74.0,True,7.5,0.0374047370023618,5,11,0.2,15,71.0,True,11.25,0.03917928599912557,48,success,[]
15,0.003629046001151437,1825,66.0,True,2.2164997062645853e-05,manhattan,66.0,True,0.0,0.03695222299938905,5,11,0.2,15,66.0,True,0.0,0.03976292700099293,49,success,[]
15,0.0049720779970812146,2035,71.0,True,2.6775000151246786e-05,manhattan,69.0,True,2.8169014084507045,0.0401792979973834,5,11,0.2,15,69.0,True,2.8169014084507045,0.045851574002881534,50,success,[]
15,0.002584375997685129,1293,65.0,True,2.1249998098937795e-05,manhattan,63.0,True,3.076923076923077,0.041196535999915795,5,11,0.2,15,59.0,True,9.230769230769232,0.04881178900177474,51,success,[]
15,0.0034538840009190608,1384,58.0,True,2.7313999453326687e-05,manhattan,56.0,True,3.4482758620689653,0.04109070099730161,5,11,0.2,15,56.0,True,3.4482758620689653,0.03214715599824558,52,success,[]
15,0.0035973769990960136,1865,79.0,True,2.095999661833048e-05,manhattan,66.0,True,16.455696202531644,0.040250979000120424,5,11,0.2,15,67.0,True,15.18987341772152,0.03353696599879186,53,success,[]
15,0.0035496069976943545,1889,72.0,True,2.1624997316394e-05,manhattan,68.0,True,5.555555555555555,0.037165067999012535,5,11,0.2,15,68.0,True,5.555555555555555,0.03328907499962952,54,success,[]
15,0.0042181290009466466,2314,118.0,True,2.0275998394936323e-05,manhattan,85.0,True,27.966101694915253,0.04532807900250191,5,11,0.2,15,85.0,True,27.966101694915253,0.0373133319990302,55,success,[]
15,0.005355389999749605,1158,64.0,True,3.302700133644976e-05,manhattan,60.0,True,6.25,0.04275715300173033,5,11,0.2,15,62.0,True,3.125,0.04140028999972856,56,success,[]
15,0.0037998080006218515,2059,72.0,True,3.121799818472937e-05,manhattan,72.0,True,0.0,0.03885603199887555,5,11,0.2,15,72.0,True,0.0,0.04221190400130581,57,success,[]
15,0.00353947600160609,1816,82.0,True,2.9053000616841018e-05,manhattan,79.0,True,3.6585365853658534,0.04044633200101089,5,11,0.2,15,79.0,True,3.6585365853658534,0.03843923000022187,58,success,[]
15,0.002270894998218864,1221,55.0,True,1.9442999473540112e-05,manhattan,53.0,True,3.6363636363636362,0.03996402299890178,5,11,0.2,15,55.0,True,0.0,0.03971615200134693,59,success,[]
15,0.0028962489996047225,1492,69.0,True,2.05570031539537e-05,manhattan,69.0,True,0.0,0.04056349900201894,5,11,0.2,15,69.0,True,0.0,0.04083149700090871,60,success,[]
15,0.0033505369974591304,1715,74.0,True,2.064899672404863e-05,manhattan,67.0,True,9.45945945945946,0.03849054500096827,5,11,0.2,15,69.0,True,6.756756756756757,0.035184747001039796,61,success,[]
15,0.0038349319984263275,1861,100.0,True,2.1338000806281343e-05,manhattan,75.0,True,25.0,0.0411518269975204,5,11,0.2,15,84.0,True,16.0,0.039663643001404125,62,success,[]
15,0.0025073890028579626,1342,71.0,True,2.0175000827293843e-05,manhattan,56.0,True,21.12676056338028,0.03687916400303948,5,11,0.2,15,63.0,True,11.267605633802818,0.03942122599983122,63,success,[]
15,0.004594964000716573,1135,57.0,True,3.123799979221076e-05,manhattan,53.0,True,7.017543859649122,0.036926721997588174,5,11,0.2,15,56.0,True,1.7543859649122806,0.04620537099981448,64,success,[]
15,0.002908392001700122,1233,48.0,True,2.4394001229666173e-05,manhattan,48.0,True,0.0,0.0366034069993475,5,11,0.2,15,48.0,True,0.0,0.037036060999525944,65,success,[]
15,0.005434853999759071,1759,83.0,True,3.134999860776588e-05,manhattan,77.0,True,7.228915662650602,0.048749887999292696,5,11,0.2,15,77.0,True,7.228915662650602,0.042940430001181085,66,success,[]
15,0.0038399230033974163,1808,81.0,True,2.306600072188303e-05,manhattan,79.0,True,2.4691358024691357,0.04572048900081427,5,11,0.2,15,79.0,True,2.4691358024691357,0.05120973600060097,67,success,[]
15,0.006007559997669887,2184,90.0,True,3.103299968643114e-05,manhattan,78.0,True,13.333333333333334,0.07039139900007285,5,11,0.2,15,78.0,True,13.333333333333334,0.06431284199788934,68,success,[]
15,0.0029576699998870026,1173,84.0,True,2.7799000235972926e-05,manhattan,61.0,True,27.380952380952383,0.0440740599988203,5,11,0.2,15,61.0,True,27.380952380952383,0.05195986000035191,69,success,[]
15,0.0034860730011132546,1713,71.0,True,2.377700002398342e-05,manhattan,69.0,True,2.8169014084507045,0.0412817209980858,5,11,0.2,15,71.0,True,0.0,0.05073828100285027,70,success,[]
15,0.003941287999623455,1664,91.0,True,2.7922000299440697e-05,manhattan,69.0,True,24.175824175824175,0.049220166001759935,5,11,0.2,15,69.0,True,24.175824175824175,0.039727381998091005,71,success,[]
