alpha,cols,greedy_cost_mean,hill_cost_mean,n_parcels,n_trials,obstacle_prob,rows,sa_cost_mean,sa_cost_stdev,sa_impr_pct_mean,sa_impr_pct_stdev,t0
0.999,15,73.0,66.06666666666666,5,15,0.2,15,65.2,8.900936280339652,9.485827042354115,7.511760056490142,10.0
0.999,15,73.0,66.06666666666666,5,15,0.2,15,65.4,8.792420978699022,9.208049264576339,7.262632151964542,100.0
0.999,15,73.0,66.06666666666666,5,15,0.2,15,65.6,8.830251034559172,8.888265889918893,7.746054121819995,50.0
0.995,15,73.0,66.06666666666666,5,15,0.2,15,66.46666666666667,8.484233743964285,7.665636927853312,7.160054172252899,100.0
0.995,15,73.0,66.06666666666666,5,15,0.2,15,66.66666666666667,8.26774186556133,7.304314820080727,7.669556260857153,50.0
0.99,15,73.0,66.06666666666666,5,15,0.2,15,66.86666666666666,10.22980395163509,7.456215813085212,6.407560419654664,10.0
0.99,15,73.0,66.06666666666666,5,15,0.2,15,67.06666666666666,10.363182694305623,7.190748618793731,6.674555585257439,50.0
0.995,15,73.0,66.06666666666666,5,15,0.2,15,67.46666666666667,9.708186694171516,6.497865005374752,6.940510812320055,10.0
0.99,15,73.0,66.06666666666666,5,15,0.2,15,68.53333333333333,10.268830940710286,5.126075820814387,6.043312447517818,100.0
